id,parentId,type,title,durationSeconds,capacitySeconds,languageCode,languageFamily,era,region,detail,extra
snd-13,snd-grp-machine,EARTH_SOUND,"Herding Sheep, Blacksmith, Sawing",49,,,,,TECHNOLOGICAL,Agriculture and metal,
snd-14,snd-grp-machine,EARTH_SOUND,"Tractor, Riveter",35,,,,,TECHNOLOGICAL,Industry,
snd-15,snd-grp-machine,EARTH_SOUND,"Morse Code, Ships",38,,,,,TECHNOLOGICAL,Signals across distance,
snd-16,snd-grp-machine,EARTH_SOUND,Horse and Cart,28,,,,,TECHNOLOGICAL,Animal-powered transport,
snd-17,snd-grp-machine,EARTH_SOUND,Train,31,,,,,TECHNOLOGICAL,Steam whistle,
snd-18,snd-grp-machine,EARTH_SOUND,"Truck, Tractor, Bus, Auto",37,,,,,TECHNOLOGICAL,Combustion,
snd-19,snd-grp-machine,EARTH_SOUND,"F-111 Flyby, Saturn V Lift-off",44,,,,,TECHNOLOGICAL,Leaving the ground,
sec-music-side1,side-1,SECTION,Music (part 1),,,,,,,,
mus-s1-classical,sec-music-side1,SECTION,Western Classical,,,,,,,,
mus-01,mus-s1-classical,MUSIC,"Brandenburg Concerto No. 2 in F major, First Movement",280,,,,,EUROPE,Johann Sebastian Bach,"Munich Bach Orchestra, Karl Richter (cond.)"
mus-s1-traditional,sec-music-side1,SECTION,Traditional and Folk,,,,,,,,
mus-02,mus-s1-traditional,MUSIC,"Ketawang: Puspawarna (""Kinds of Flowers"")",283,,,,,ASIA,Javanese court gamelan,"Pura Paku Alaman Palace Orchestra, rec. Robert Brown"
mus-03,mus-s1-traditional,MUSIC,Cengunmé (percussion),128,,,,,AFRICA,Senegalese traditional,Rec. Charles Duvelle
mus-04,mus-s1-traditional,MUSIC,Alima Song (Pygmy girls' initiation song),56,,,,,AFRICA,Mbuti traditional,Rec. Colin Turnbull
mus-05,mus-s1-traditional,MUSIC,"Barnumbirr (""Morning Star"") and Moikoi Song",86,,,,,OCEANIA,Aboriginal Australian traditional,"Tom Djawa, Mudpo, Waliparu; rec. Sandra LeBrun Holmes"
mus-06,mus-s1-traditional,MUSIC,El Cascabel,194,,,,,AMERICAS,Lorenzo Barcelata,Lorenzo Barcelata and the Mariachi México
mus-08,mus-s1-traditional,MUSIC,Mariuamangɨ (men's house song),80,,,,,OCEANIA,New Guinea traditional,Rec. Robert MacLennan
mus-09,mus-s1-traditional,MUSIC,"Tsuru No Sugomori (""Crane's Nest""), shakuhachi",291,,,,,ASIA,Japanese traditional,Goro Yamaguchi
mus-13,mus-s1-traditional,MUSIC,Roncadoras y Tambor (panpipes and drum),52,,,,,AMERICAS,Peruvian traditional,"Collected by Casa de la Cultura, Lima"
mus-s1-popular,sec-music-side1,SECTION,Modern Popular,,,,,,,,
mus-07,mus-s1-popular,MUSIC,Johnny B. Goode,158,,,,,AMERICAS,Chuck Berry,Chuck Berry
side-2,golden-record,SECTION,Side 2,,3300,,,,,,
sec-music-side2,side-2,SECTION,Music (part 2),,,,,,,,
mus-s2-classical,sec-music-side2,SECTION,Western Classical,,,,,,,,
mus-10,mus-s2-classical,MUSIC,"Gavotte en rondeaux, Partita No. 3 in E major for Violin",175,,,,,EUROPE,Johann Sebastian Bach,Arthur Grumiaux
mus-11,mus-s2-classical,MUSIC,"Die Zauberflöte: Queen of the Night aria, No. 14",175,,,,,EUROPE,Wolfgang Amadeus Mozart,"Edda Moser; Bavarian State Opera, Wolfgang Sawallisch (cond.)"
mus-16,mus-s2-classical,MUSIC,Le Sacre du Printemps: Sacrificial Dance,275,,,,,EUROPE,Igor Stravinsky,"Columbia Symphony Orchestra, Igor Stravinsky (cond.)"
mus-17,mus-s2-classical,MUSIC,"The Well-Tempered Clavier, Book II: Prelude and Fugue in C major, No. 1",288,,,,,EUROPE,Johann Sebastian Bach,"Glenn Gould, piano"
mus-18,mus-s2-classical,MUSIC,"Symphony No. 5 in C minor, First Movement",440,,,,,EUROPE,Ludwig van Beethoven,"Philharmonia Orchestra, Otto Klemperer (cond.)"
mus-21,mus-s2-classical,MUSIC,"The Fairie Round, from Paueans, Galliards, Almains",77,,,,,EUROPE,Anthony Holborne,"Early Music Consort of London, David Munrow (dir.)"
mus-25,mus-s2-classical,MUSIC,Jaat Kahan Ho (raga Bhairavi),210,,,,,ASIA,Indian classical,Kesarbai Kerkar
mus-27,mus-s2-classical,MUSIC,"String Quartet No. 13 in B-flat major, Op. 130: Cavatina",397,,,,,EUROPE,Ludwig van Beethoven,Budapest String Quartet
mus-s2-traditional,sec-music-side2,SECTION,Traditional and Folk,,,,,,,,
mus-12,mus-s2-traditional,MUSIC,Tchakrulo (choral),138,,,,,EUROPE,Georgian traditional,Collected by Radio Moscow
mus-15,mus-s2-traditional,MUSIC,Muğam (bagpipes),150,,,,,ASIA,Azerbaijani traditional,Kamil Jalilov; rec. Radio Moscow
mus-19,mus-s2-traditional,MUSIC,Izlel je Delyo Hajdutin,299,,,,,EUROPE,Bulgarian traditional,Valya Balkanska
mus-20,mus-s2-traditional,MUSIC,Night Chant (Navajo),57,,,,,AMERICAS,Navajo traditional,"Ambrose Roan Horse, Chester Roan, Tom Roan; rec. Willard Rhodes"
mus-22,mus-s2-traditional,MUSIC,Panpipes,72,,,,,OCEANIA,Solomon Islands traditional,Collected by Solomon Islands Broadcasting Service
mus-23,mus-s2-traditional,MUSIC,Wedding Song,38,,,,,AMERICAS,Peruvian traditional,Rec. John Cohen
mus-24,mus-s2-traditional,MUSIC,"Liu Shui (""Flowing Streams""), guqin",457,,,,,ASIA,Chinese traditional,Guan Pinghu
mus-s2-popular,sec-music-side2,SECTION,Modern Popular,,,,,,,,
mus-14,mus-s2-popular,MUSIC,Melancholy Blues,185,,,,,AMERICAS,Marty Bloom / Walter Melrose,Louis Armstrong and his Hot Seven
mus-26,mus-s2-popular,MUSIC,"Dark Was the Night, Cold Was the Ground",195,,,,,AMERICAS,Blind Willie Johnson,Blind Willie Johnson
